Createdon,fdr_Id,duration_seconds,Fault_Occurred,tempmax,tempmin,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,solarradiation,datetime
2025-01-10,2034,0.0,0,26.0,14.0,20.0,2.1,31.7,0.0,24.5,14.8,1015.7,45.0,161.7,2025-01-10
2025-01-07,190,0.0,0,25.0,7.0,16.2,-3.8,28.8,0.0,26.6,22.3,1020.0,0.0,199.0,2025-01-07
2025-01-23,2083,0.0,0,26.8,15.0,20.4,-1.2,27.2,0.0,30.6,24.1,1017.7,12.5,208.1,2025-01-23
2025-02-06,343,0.0,0,27.0,10.0,18.8,-1.0,31.4,0.0,31.7,20.5,1017.6,3.7,228.1,2025-02-06
2025-01-31,560,0.0,0,26.0,11.0,19.7,1.0,32.7,0.0,31.7,25.9,1011.7,0.0,219.9,2025-01-31
2025-01-14,3551,0.0,0,25.0,10.2,17.2,7.1,53.4,0.0,28.4,16.9,1018.4,0.5,195.2,2025-01-14
2025-01-06,316,0.0,0,25.2,8.0,16.5,0.8,41.4,0.0,20.5,13.3,1018.8,0.0,196.7,2025-01-06
2025-02-04,324,0.0,0,27.0,13.0,20.0,7.0,48.2,0.0,34.9,18.4,1015.8,11.4,219.7,2025-02-04
2025-01-05,547,0.0,0,24.4,11.0,17.6,4.5,44.9,0.0,21.2,14.8,1016.4,0.0,192.3,2025-01-05
2025-01-26,298,0.0,0,29.0,9.0,18.6,2.9,40.5,0.0,18.7,22.3,1015.0,0.0,215.8,2025-01-26
2025-01-29,2047,0.0,0,28.0,14.8,21.7,15.5,70.6,0.0,38.5,22.3,1012.8,10.5,207.6,2025-01-29
2025-01-28,2101,0.0,0,28.2,11.0,19.8,7.9,52.5,0.0,29.2,18.4,1012.1,8.4,201.6,2025-01-28
2025-01-11,4171,0.0,0,27.0,11.0,18.4,4.2,43.3,0.0,25.6,16.9,1016.7,0.7,195.5,2025-01-11
2025-01-30,558,577.0,1,29.0,13.0,21.3,6.8,49.5,0.0,31.0,18.4,1013.2,6.3,214.8,2025-01-30
2025-01-03,329,9595.0,1,28.0,10.0,18.7,8.4,52.7,0.0,21.6,13.0,1016.7,15.9,185.9,2025-01-03
2025-01-27,2084,0.0,0,31.0,10.0,19.3,6.3,50.3,0.0,23.0,16.6,1013.3,4.2,213.8,2025-01-27
2025-01-04,329,0.0,0,26.0,14.6,19.7,7.1,49.7,0.0,33.1,16.6,1015.0,16.4,190.0,2025-01-04
2025-01-07,1177,0.0,0,25.0,7.0,16.2,-3.8,28.8,0.0,26.6,22.3,1020.0,0.0,199.0,2025-01-07
2025-01-20,109,0.0,0,27.0,16.0,20.2,2.0,31.2,0.0,31.7,16.6,1016.3,0.0,201.5,2025-01-20
2025-01-30,3551,0.0,0,29.0,13.0,21.3,6.8,49.5,0.0,31.0,18.4,1013.2,6.3,214.8,2025-01-30
2025-02-07,3414,0.0,0,28.0,16.0,21.5,-5.0,17.5,0.0,32.8,29.5,1017.3,62.9,206.2,2025-02-07
2025-02-05,1212,0.0,0,27.0,11.0,19.6,3.1,37.4,0.0,21.6,15.8,1016.6,0.0,228.7,2025-02-05
2025-01-11,298,0.0,0,27.0,11.0,18.4,4.2,43.3,0.0,25.6,16.9,1016.7,0.7,195.5,2025-01-11
2025-01-09,543,0.0,0,26.4,9.6,17.3,3.0,45.5,0.0,23.8,14.8,1014.9,0.0,198.5,2025-01-09
2025-01-15,3551,0.0,0,25.0,11.0,18.1,7.4,52.2,0.0,28.8,14.4,1019.3,19.2,191.5,2025-01-15
2025-02-07,3514,0.0,0,28.0,16.0,21.5,-5.0,17.5,0.0,32.8,29.5,1017.3,62.9,206.2,2025-02-07
2025-01-21,326,0.0,0,27.0,11.0,18.8,7.0,48.7,0.0,24.8,14.4,1015.2,0.0,202.0,2025-01-21
2025-02-07,791,0.0,0,28.0,16.0,21.5,-5.0,17.5,0.0,32.8,29.5,1017.3,62.9,206.2,2025-02-07
2025-01-14,1196,0.0,0,25.0,10.2,17.2,7.1,53.4,0.0,28.4,16.9,1018.4,0.5,195.2,2025-01-14
2025-01-28,3904,0.0,0,28.2,11.0,19.8,7.9,52.5,0.0,29.2,18.4,1012.1,8.4,201.6,2025-01-28
2025-01-31,3146,0.0,0,26.0,11.0,19.7,1.0,32.7,0.0,31.7,25.9,1011.7,0.0,219.9,2025-01-31
2025-01-20,3315,0.0,0,27.0,16.0,20.2,2.0,31.2,0.0,31.7,16.6,1016.3,0.0,201.5,2025-01-20
