Object,Sequence No.,Maintenance Plant,Functional Location,Functional Location,Authorization Group,Structure indicator,FunctLocCategory,FunctLocDescrip.,Business Area,Object Type,Location,Plant Section,Created By,Work Center,ABC Indicator,Capacity,Peak Load,Network Object Classification,Category for Residential / Commercial /,Switch Make By,First Hit Point,NSIS AOC,Character 100,Postal Code,Room Number,Functional Location,Work Center,Superior FunctLoc.,Status Profile,Connection Object,Type of premise,Premise,Meter reading unit,Installation,Device Location,Notification,Notification Type,Functional Location,Functional Location,Functional Location,Load Shed Group,Equipment,Equipment,NSISID,GIS Id,Created On,Time,Created By,Component of the Version Number,Status,Status effective date,DSA: ABC Indicator,ABC Date,Changed On,Field of type TIMS,Length,Single / Double Values,Changed By,Changed On,Field of type TIMS,Indicator,Functional Location,Functional Location,DSA: Feeder Protection Status,"DSA: Sendor / Receiver , Incomer / Outgo",Functional Location,Relay,CT Ratio,Relay Nominal Phase Current,Relay Nominal Neutral Current,DSA: APM Status,APM Date,DSA: SS Room Location,DSA: LT Panel Type,Yes or No,DSA: Scheme,DSA: Model,DSA: Protection Level,DSA: Utilization
FEEDER,99,DN01,FDR-000099,,123,AO_GP,M,BARADARI,4000,DN-CAB-01,99,C-G,,OCR-GUL,,304.5,,B,,,,16,,,,,OCR-GUL,DN-E006-02-SW20,DN_FFL,,FEEDER,,,,,,,4001264950,4001265382,4001761227,,3000000049691,,99,{293B29CC-4EB9-4F72-A746-6472AFE85787},6/28/2018,,U80016139,NT,FACT,,,,,12:00:00 AM,0,D,,,12:00:00 AM,,,,,,,,,0,0,,,,,,,,,
FEEDER,102,DN01,FDR-000102,,127,AO_GP,M,EAGLE SQUAD,4000,DN-CAB-01,102,C-G,,OCR-GUL,,304.5,,B,,,,12,,,,,OCR-GUL,DN-E006-02-SW17,DN_FFL,,FEEDER,,,,,,,4001264951,4001265383,4001761228,,3000000049692,,102,{74142776-A641-4BD7-B3BE-B5D11FE71DE8},10/5/2018,,U80016139,FA,FACT,,,,,12:00:00 AM,0,D,,,12:00:00 AM,,,,,,,,,0,0,,,,,,,,,
FEEDER,103,DN01,FDR-000103,,127,AO_GP,M,PARAS,4000,DN-CAB-01,103,C-G,,OCR-GUL,,304.5,,B,,,,12,,,,,OCR-GUL,DN-E006-02-SW17,DN_FFL,,FEEDER,,,,,,,4001264952,4001265384,4001761382,,3000000049693,,103,{D5EB9543-F85C-46DC-A38F-4C6447259CE8},6/28/2018,,U80016139,NT,FACT,,,,,12:00:00 AM,0,D,,,12:00:00 AM,,,,,,,,,0,0,,,,,,,,,
FEEDER,109,DN01,FDR-000109,,123,AO_GP,M,EXPO CENTER,4000,DN-CAB-01,109,C-G,,OCR-GUL,,304.5,,B,,,,16,,,,,OCR-GUL,DN-E006-02-SW15,DN_FFL,,FEEDER,,,,,,,4001264953,4001265385,4001761229,,3000000049694,,109,{5F52761C-38F2-457C-8D75-321EE8EED395},6/28/2018,,U80016139,NT,FACT,,,,,12:00:00 AM,0,D,,,12:00:00 AM,,,,,,,,,0,0,,,,,,,,,
FEEDER,111,DN01,FDR-000111,,127,AO_GP,M,RUKKNUDDIN,4000,DN-CAB-01,111,C-G,,OCR-GUL,,304.5,,B,,,,12,,,,,OCR-GUL,DN-E006-03-SW25,DN_FFL,,FEEDER,,,,,,,4001265395,4001265386,4001761383,,3000000095894,,000111,{4445CA36-D0D2-4741-A026-726ABB8A291A},6/28/2018,,U80016139,NT,FACT,,,,,12:00:00 AM,0,S,,,12:00:00 AM,,,,,,,,,0,0,,,,,,,,,
FEEDER,117,DN01,FDR-000117,,127,AO_GP,M,QASIMABAD DEGREE COLLGE (QDC),4000,DN-CAB-01,117,C-G,,OCR-GUL,,304.5,,B,,,,12,,,,,OCR-GUL,DN-E006-03-SW27,DN_FFL,,FEEDER,,,,,,,4001265396,4001265387,4001761384,,3000000093033,,000117,{7A7F1A9C-0CB0-41B8-A740-D25FABC51C62},6/28/2018,,U80016139,NT,FACT,,,,,12:00:00 AM,0,D,GULSHAN-MGR,6/9/2020,5:29:17 PM,,,,,,,,,0,0,,,,,,,,,
FEEDER,186,DN01,FDR-000186,,132,AO_GP,M,BASRA SOAP,4000,DN-CAB-01,186,C-G,,OCR-GUL,,304.5,,B,,,,03,,,,,OCR-GUL,DN-E048-01-SW18,DN_FFL,,FEEDER,,,,,,,4001265397,4001265388,4001761810,,3000000049697,,000186,{1DB03AFF-0934-4749-92EB-6BC849D1A830},10/5/2018,,U80016139,FA,FACT,,,,,12:00:00 AM,0,S,GULSHAN-MGR,8/21/2020,10:42:39 AM,,,,,,,,,0,0,,,,,,,,,
FEEDER,190,DN01,FDR-000190,,132,AO_GP,M,SAGHIR CENTER (RASHID MINHAS),4000,DN-CAB-01,190,C-G,,OCR-GUL,,304.5,,B,,,,03,,,,,OCR-GUL,DN-E012-04-SW37,DN_FFL,,FEEDER,,,,,,,4001265401,4001265392,4001761811,,3000000049701,,190,{FA8F1895-AB6F-4923-BB2D-8A99A145EC41},6/28/2018,,U80016139,NT,FACT,,,,,12:00:00 AM,0,S,,,12:00:00 AM,,,,,,,,,0,0,,,,,,,,,
FEEDER,191,DN01,FDR-000191,,132,AO_GP,M,PLASTIC CRAFTER(UNIVERSAL TEX.),4000,DN-CAB-01,191,C-G,,OCR-GUL,,304.5,,B,,,,03,,,,,OCR-GUL,DN-E012-03-SW2,DN_FFL,,FEEDER,,,,,,,4001265402,4001265393,4001761812,,3000000049702,,191,{A0819177-F5BC-4A9C-8DD7-50738C55070E},6/28/2018,,U80016139,NT,FACT,,,,5/20/2021,11:07:07 AM,0,S,GULSHAN-MGR,11/30/2022,12:29:42 PM,,4002370794,4002370795,,,,,,0,0,,,,,,,,,
FEEDER,192,DN01,FDR-000192,,132,AO_GP,M,CHAND MARKET (P-59),4000,DN-CAB-01,192,C-G,,OCR-GUL,,304.5,,B,,,,03,,,,,OCR-GUL,DN-E012-01-SW45,DN_FFL,,FEEDER,,,,,,,4001265403,4001265394,4001761813,,3000000049703,,192,{F6138A7E-49B5-4778-8CDC-880017FD30AD},6/28/2018,,U80016139,NT,FACT,,,,,12:00:00 AM,0,S,,,12:00:00 AM,,,,,,,,,0,0,,,,,,,,,
