Createdon,punchCloseAt,OutageType,saifi,saidi,consumer_count_fdr,outageSubType,initialoffreason,htclosingreason,fdr_Id,fdr_name,grid_name,Relay,isemergency,israintripping,TAT,duration,dts_Id,consumer_count_fdr.1,datetime,tempmax,tempmin,temp,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk
2023-01-01,2023-01-01 07:00:03,Feeder,,,,Feeder Trip,Lead Burnt Out,Bird / Animal Electrocuted,3549,TALIB COLONY,JAIL,RYBI + UB,0.0,NO,89,01:26:33,534638,,2023-01-01,28.0,11.0,19.0,8.6,57.3,0.0,0,0.0,,0,0,25.9,20.5,238.4,1019.0,0.0,4.2,185.0,16.1,7,10
2023-01-01,2023-01-01 06:30:10,Feeder,,,,Feeder Trip,Lead Burnt Out,Bird / Animal Electrocuted,558,TAYYA HOTEL (OLD LIAQATABAD-1),LIAQUTABAD,RYBEI,0.0,NO,87,00:56:40,534638,,2023-01-01,28.0,11.0,19.0,8.6,57.3,0.0,0,0.0,,0,0,25.9,20.5,238.4,1019.0,0.0,4.2,185.0,16.1,7,10
2023-01-01,2023-01-01 08:50:18,Feeder,,,,Incoming Trip,Lead Burnt Out,VIR / Wire / Cloth etc. grounding,2024,BAZAR-E-FAISAL(N.ICE),LIAQUTABAD,RYBEI,0.0,NO,101,01:33:00,567,,2023-01-01,28.0,11.0,19.0,8.6,57.3,0.0,0,0.0,,0,0,25.9,20.5,238.4,1019.0,0.0,4.2,185.0,16.1,7,10
2023-01-01,2023-01-01 08:38:18,Feeder,,,,Incoming Trip,Lead Burnt Out,Bird / Animal Electrocuted,3904,MANZAR-E-JILANI,AZIZABAD,RYBEI,0.0,NO,57,00:54:14,567,,2023-01-01,28.0,11.0,19.0,8.6,57.3,0.0,0,0.0,,0,0,25.9,20.5,238.4,1019.0,0.0,4.2,185.0,16.1,7,10
2023-01-01,2023-01-01 10:20:42,Feeder,,,,OTFS,Forced Outage,Fire/Flash/Sparking,813,SHAH-E-KARBALA,Golimar,RYBEI,1.0,NO,25,00:24:34,567,,2023-01-01,28.0,11.0,19.0,8.6,57.3,0.0,0,0.0,,0,0,25.9,20.5,238.4,1019.0,0.0,4.2,185.0,16.1,7,10
2023-01-01,2023-01-01 10:20:16,Feeder,,,,OTFS,Forced Outage,Fire/Flash/Sparking,782,DYRE TEXTILE,Golimar,RYBEI,1.0,NO,27,00:23:35,567,,2023-01-01,28.0,11.0,19.0,8.6,57.3,0.0,0,0.0,,0,0,25.9,20.5,238.4,1019.0,0.0,4.2,185.0,16.1,7,10
2023-01-01,2023-01-01 11:35:30,Feeder,,,,Feeder Trip,Lead Burnt Out,Bird / Animal Electrocuted,2023,BANA PALACE,AZIZABAD,RYBEI,0.0,NO,77,01:13:44,500698,,2023-01-01,28.0,11.0,19.0,8.6,57.3,0.0,0,0.0,,0,0,25.9,20.5,238.4,1019.0,0.0,4.2,185.0,16.1,7,10
2023-01-01,2023-01-01 11:25:46,Feeder,,,,Feeder Trip,Breaker Tripped,Bird / Animal Electrocuted,333,E. P. B.,GULSHAN,EI,0.0,NO,39,00:32:22,6789,,2023-01-01,28.0,11.0,19.0,8.6,57.3,0.0,0,0.0,,0,0,25.9,20.5,238.4,1019.0,0.0,4.2,185.0,16.1,7,10
2023-01-01,2023-01-01 11:55:49,Feeder,,,,Incoming Trip,Shutdown,Misc.,109,EXPO CENTER,CIVIC CENTRE,EI,0.0,NO,35,00:15:47,500581,,2023-01-01,28.0,11.0,19.0,8.6,57.3,0.0,0,0.0,,0,0,25.9,20.5,238.4,1019.0,0.0,4.2,185.0,16.1,7,10
2023-01-01,2023-01-01 15:20:01,Feeder,,,,Incoming Trip,Job of Operation,HT Jumper,3904,MANZAR-E-JILANI,AZIZABAD,EI,0.0,NO,97,01:33:29,1320,,2023-01-01,28.0,11.0,19.0,8.6,57.3,0.0,0,0.0,,0,0,25.9,20.5,238.4,1019.0,0.0,4.2,185.0,16.1,7,10
