name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Karachi,Pakistan",2023-01-01,28,11,19,27,11,18.8,8.6,57.3,0,0,0,,0,0,25.9,20.5,238.4,1019,0,4.2,185,16.1,7,10,2023-01-01T07:16:51,2023-01-01T17:54:02,0.3,Clear,Clear conditions throughout the day.,clear-day,"41780099999,OPKC"
"Karachi,Pakistan",2023-01-02,27,11,18.5,26.1,11,18.5,4.8,45.5,0,0,0,,0,0,27,18.4,59.6,1018.9,0.6,5.4,188,16.2,7,10,2023-01-02T07:17:08,2023-01-02T17:54:41,0.34,Clear,Clear conditions throughout the day.,clear-day,"41780099999,OPKC,remote"
"Karachi,Pakistan",2023-01-03,25,11,18.2,25,11,18.2,1.3,35.6,0,0,0,,0,0,31.7,27.7,40.9,1021.4,6.5,5,189.5,16.5,7,10,2023-01-03T07:17:24,2023-01-03T17:55:21,0.37,Clear,Clear conditions throughout the day.,clear-day,"41780099999,OPKC"
"Karachi,Pakistan",2023-01-04,24.2,12,17.4,24.2,12,17.4,-1.3,29.9,0,0,0,,0,0,39.2,27.7,42.6,1022.2,0,4.9,194.3,16.9,7,10,2023-01-04T07:17:39,2023-01-04T17:56:02,0.41,Clear,Clear conditions throughout the day.,clear-day,"41780099999,OPKC"
"Karachi,Pakistan",2023-01-05,24,9,16.4,24,7.2,16.3,-1.9,31.9,0,0,0,,0,0,45.7,37.1,47.1,1022,0,5.1,194.5,16.8,7,10,2023-01-05T07:17:52,2023-01-05T17:56:44,0.44,Clear,Clear conditions throughout the day.,clear-day,"41780099999,OPKC"
"Karachi,Pakistan",2023-01-06,25,12,17.9,25,12,17.9,-1.8,28.1,0,0,0,,0,0,41,27.7,35.9,1021.4,11.3,5.3,192.9,16.6,7,10,2023-01-06T07:18:03,2023-01-06T17:57:25,0.48,Clear,Clear conditions throughout the day.,clear-day,"41780099999,OPKC"
"Karachi,Pakistan",2023-01-07,27,15,19.8,26,15,19.7,-1,25.7,0,0,0,,0,0,40.3,24.1,43.6,1020.3,4.3,5.9,191.2,16.5,7,10,2023-01-07T07:18:14,2023-01-07T17:58:08,0.5,Clear,Clear conditions throughout the day.,clear-day,"41780099999,OPKC,remote"
"Karachi,Pakistan",2023-01-08,27,14,19.3,26.4,14,19.3,-0.1,29.3,0,0,0,,0,0,29.5,14.8,359.7,1018.9,0.3,5.4,191.6,16.6,7,10,2023-01-08T07:18:23,2023-01-08T17:58:51,0.54,Clear,Clear conditions throughout the day.,clear-day,"41780099999,OPKC,remote"
"Karachi,Pakistan",2023-01-09,26.4,12,18.8,26.4,12,18.8,9.1,54.9,0,0,0,,0,0,20.2,14.8,98.9,1019.8,2.1,3.2,186.6,16.2,7,10,2023-01-09T07:18:30,2023-01-09T17:59:34,0.58,Clear,Clear conditions throughout the day.,clear-day,"41780099999,OPKC"
"Karachi,Pakistan",2023-01-10,27,13,19.4,26.9,13,19.4,9.5,54.8,0,0,0,,0,0,22,25.9,173.3,1019.2,2.2,4,185.1,15.9,7,10,2023-01-10T07:18:37,2023-01-10T18:00:18,0.61,Clear,Clear conditions throughout the day.,clear-day,"41780099999,OPKC"
"Karachi,Pakistan",2023-01-11,27,15,21.3,27.5,15,21.4,15,69.7,0.1,100,4.17,rain,0,0,50.8,35.3,278.7,1014.9,61.3,3.6,154.6,13.5,6,10,2023-01-11T07:18:41,2023-01-11T18:01:02,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"41780099999,OPKC"
"Karachi,Pakistan",2023-01-12,23,16,19.5,23,16,19.5,-4.5,20.4,0,0,0,,0,0,40.3,37.1,317.1,1014,1,2.6,201.9,17.5,8,10,2023-01-12T07:18:44,2023-01-12T18:01:46,0.68,Clear,Clear conditions throughout the day.,clear-day,"41780099999,OPKC"
"Karachi,Pakistan",2023-01-13,22,11.2,16.2,22,11.2,16.2,-15.5,10.9,0,0,0,,0,0,38.2,31.7,327.9,1015.9,2.9,4.2,208.5,18,8,10,2023-01-13T07:18:46,2023-01-13T18:02:30,0.71,Clear,Clear conditions throughout the day.,clear-day,"41780099999,OPKC"
"Karachi,Pakistan",2023-01-14,23,7,15.3,23,5.5,15.2,-5.3,26.5,0,0,0,,0,0,24.8,18.4,43.9,1019.1,7.2,5.4,205.4,17.7,8,10,2023-01-14T07:18:47,2023-01-14T18:03:15,0.75,Clear,Clear conditions throughout the day.,clear-day,"41780099999,OPKC,remote"
"Karachi,Pakistan",2023-01-15,22,7,14.3,22,6,14.1,0.5,43.1,0,0,0,,0,0,23.4,13,202.7,1017.3,0,4.6,205.2,17.7,8,10,2023-01-15T07:18:45,2023-01-15T18:04:00,0.75,Clear,Clear conditions throughout the day.,clear-day,"41780099999,OPKC"
"Karachi,Pakistan",2023-01-16,24,8,15.8,24,6.3,15.6,2.6,47.6,0,0,0,,0,0,27,22.3,73.6,1015.9,0,5.5,202.4,17.5,7,10,2023-01-16T07:18:43,2023-01-16T18:04:45,0.81,Clear,Clear conditions throughout the day.,clear-day,"41780099999,OPKC,remote"
"Karachi,Pakistan",2023-01-17,25,7,15.7,25,5.1,15.6,-0.7,36.9,0,0,0,,0,0,24.1,14.8,68.4,1017.3,20,4.6,202.6,17.5,8,10,2023-01-17T07:18:39,2023-01-17T18:05:30,0.85,Clear,Partly cloudy throughout the day.,clear-day,"41780099999,OPKC"
"Karachi,Pakistan",2023-01-18,26,9,16.9,26,7.5,16.8,1.6,41.2,0,0,0,,0,0,28.8,15.5,88.2,1017.2,29.7,4,199.2,17.3,7,10,2023-01-18T07:18:33,2023-01-18T18:06:16,0.88,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"41780099999,OPKC"
"Karachi,Pakistan",2023-01-19,26,13,18,26,13,18,-0.1,32.1,0,0,0,,0,0,38.2,33.5,41.8,1016.8,65.4,4.1,193.7,16.7,7,10,2023-01-19T07:18:26,2023-01-19T18:07:01,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41780099999,OPKC"
"Karachi,Pakistan",2023-01-20,24,12,17.5,24,12,17.5,2.8,39.2,0,0,0,,0,0,38.9,25.9,30.3,1017.2,19.5,4.7,200.4,17.3,7,10,2023-01-20T07:18:18,2023-01-20T18:07:46,0.95,Clear,Clear conditions throughout the day.,clear-day,"41780099999,OPKC"
"Karachi,Pakistan",2023-01-21,23.2,9,16.8,23.2,9,16.8,2.2,40.5,0,0,0,,0,0,27.4,16.9,23.6,1018.4,0.9,5.2,204.1,17.5,8,10,2023-01-21T07:18:08,2023-01-21T18:08:31,0.98,Clear,Clear conditions throughout the day.,clear-day,"41780099999,OPKC"
"Karachi,Pakistan",2023-01-22,23,9,15.8,23,7.9,15.7,1.9,43.4,0,0,0,,0,0,21.6,14.8,18.7,1017.6,25.2,5.6,205.9,17.8,8,10,2023-01-22T07:17:56,2023-01-22T18:09:17,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41780099999,OPKC"
"Karachi,Pakistan",2023-01-23,22.2,8,15.4,22.2,6,15.2,-3.7,30.6,0,0,0,,0,0,29.2,16.6,20.6,1018,7,6.4,210.8,18.1,8,10,2023-01-23T07:17:44,2023-01-23T18:10:02,0.05,Clear,Clear conditions throughout the day.,clear-day,"41780099999,OPKC"
